unix,date,symbol,open,high,low,close,Volume ADA,Volume USD
1653955200,2022-05-31 00:00:00,ADA/USD,0.56869,0.57760,0.56869,0.57760,2326.47237205,1343.7704420960802
1653868800,2022-05-30 00:00:00,ADA/USD,0.48128,0.57209,0.47799,0.57195,523397.74087825,299357.3378953151
1653782400,2022-05-29 00:00:00,ADA/USD,0.46402,0.48160,0.45728,0.48024,432514.59285709,207710.8080736889
1653696000,2022-05-28 00:00:00,ADA/USD,0.46020,0.46613,0.44883,0.46209,197692.29659836,91351.63333513617
1653609600,2022-05-27 00:00:00,ADA/USD,0.47099,0.47306,0.44594,0.45907,538846.65409387,247368.33349487287
1653523200,2022-05-26 00:00:00,ADA/USD,0.51818,0.51818,0.46687,0.48193,374981.69266126,180714.92714424105
1653436800,2022-05-25 00:00:00,ADA/USD,0.52880,0.53142,0.50886,0.51626,233290.23621986,120438.41735086494
1653350400,2022-05-24 00:00:00,ADA/USD,0.51538,0.52374,0.49427,0.52374,235682.75362472,123436.48538341085
1653264000,2022-05-23 00:00:00,ADA/USD,0.54040,0.55660,0.50800,0.50800,499368.44604517,253679.17059094636
1653177600,2022-05-22 00:00:00,ADA/USD,0.52866,0.54594,0.52866,0.54386,220666.42173037,120011.64012227903
1653091200,2022-05-21 00:00:00,ADA/USD,0.51011,0.53502,0.51011,0.52353,99067.32806669,51864.71826275422
1653004800,2022-05-20 00:00:00,ADA/USD,0.52927,0.54473,0.50141,0.51646,545288.75417142,281619.82997937157
1652918400,2022-05-19 00:00:00,ADA/USD,0.50788,0.54437,0.49446,0.53223,581205.39483668,309334.9472939262
1652832000,2022-05-18 00:00:00,ADA/USD,0.58075,0.58075,0.51900,0.53000,154737.71780348,82010.9904358444
1652745600,2022-05-17 00:00:00,ADA/USD,0.55637,0.59580,0.55128,0.57388,190901.17398825,109554.3657283769
1652659200,2022-05-16 00:00:00,ADA/USD,0.59900,0.60471,0.54630,0.55120,342579.95037060,188830.06864427472
1652572800,2022-05-15 00:00:00,ADA/USD,0.53757,0.59500,0.52000,0.59201,395675.36058018,234243.7702170724
1652486400,2022-05-14 00:00:00,ADA/USD,0.53738,0.55001,0.49101,0.53669,576362.41519295,309327.94460990437
1652400000,2022-05-13 00:00:00,ADA/USD,0.47135,0.60492,0.46928,0.53342,1324971.09446429,706766.0812091415
1652313600,2022-05-12 00:00:00,ADA/USD,0.51358,0.54054,0.39000,0.47653,1207589.96742593,575452.8471774785
1652227200,2022-05-11 00:00:00,ADA/USD,0.63073,0.65543,0.47655,0.51216,1513747.34346500,775280.8394290343
1652140800,2022-05-10 00:00:00,ADA/USD,0.60007,0.69876,0.58788,0.62708,960071.07094852,602041.3671703979
1652054400,2022-05-09 00:00:00,ADA/USD,0.74376,0.74870,0.59889,0.59889,1507957.55969498,903100.7029257267
1651968000,2022-05-08 00:00:00,ADA/USD,0.76029,0.76029,0.72732,0.75056,667875.27608136,501280.4672156255
1651881600,2022-05-07 00:00:00,ADA/USD,0.78084,0.78459,0.74507,0.76586,237412.58403474,181824.80160884597
1651795200,2022-05-06 00:00:00,ADA/USD,0.78996,0.79505,0.76999,0.78669,121849.55839416,95857.82909310174
1651708800,2022-05-05 00:00:00,ADA/USD,0.89989,0.90232,0.77742,0.79057,714991.41032664,565250.7592619318
1651622400,2022-05-04 00:00:00,ADA/USD,0.78277,0.89616,0.77697,0.89391,601748.42930201,537908.9384373598
1651536000,2022-05-03 00:00:00,ADA/USD,0.77764,0.79754,0.76174,0.76789,586089.65961086,450052.38871858333
